Input   Output

0       Case #1: INSOMNIA
1       Case #2: 10
2       Case #3: 90
11      Case #4: 110
141     Case #5: 987
151     Case #6: 1208
178     Case #7: 890
20      Case #8: 900
195     Case #9: 2145
9       Case #10: 90
99      Case #11: 990
119     Case #12: 1071
74      Case #13: 518
10      Case #14: 90
76      Case #15: 912
135     Case #16: 945
6       Case #17: 90
158     Case #18: 790
49      Case #19: 490
7       Case #20: 70
194     Case #21: 970
25      Case #22: 900
106     Case #23: 954
125     Case #24: 9000
121     Case #25: 968
3       Case #26: 30
88      Case #27: 792
179     Case #28: 1253
84      Case #29: 924
177     Case #30: 1239
14      Case #31: 238
41      Case #32: 369
161     Case #33: 1127
134     Case #34: 938
124     Case #35: 2356
109     Case #36: 545
17      Case #37: 119
186     Case #38: 930
80      Case #39: 960
40      Case #40: 920
68      Case #41: 952
23      Case #42: 207
58      Case #43: 290
36      Case #44: 396
81      Case #45: 729
131     Case #46: 1048
132     Case #47: 792
114     Case #48: 798
47      Case #49: 470
22      Case #50: 198
30      Case #51: 270
78      Case #52: 390
67      Case #53: 469
117     Case #54: 819
21      Case #55: 189
34      Case #56: 918
149     Case #57: 1043
102     Case #58: 918
50      Case #59: 900
184     Case #60: 920
35      Case #61: 560
52      Case #62: 936
127     Case #63: 889
113     Case #64: 904
108     Case #65: 972
156     Case #66: 936
160     Case #67: 2560
44      Case #68: 396
140     Case #69: 2380
159     Case #70: 1590
48      Case #71: 576
104     Case #72: 936
39      Case #73: 390
144     Case #74: 1296
182     Case #75: 910
38      Case #76: 190
91      Case #77: 910
128     Case #78: 896
193     Case #79: 1930
87      Case #80: 609
146     Case #81: 730
46      Case #82: 506
166     Case #83: 5478
82      Case #84: 574
70      Case #85: 560
37      Case #86: 370
97      Case #87: 970
200     Case #88: 9000
60      Case #89: 900
162     Case #90: 1458
126     Case #91: 1890
5       Case #92: 90
107     Case #93: 749
175     Case #94: 2625
120     Case #95: 1560
190     Case #96: 1520
4       Case #97: 92
8       Case #98: 96
18      Case #99: 90
150     Case #100: 1800
